epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
149,2094.55,1.12735,0.99001,1.49539,0.40473,0.63158,0.51887,0.34061,1.39711,1.72387,2.01176,0.0010232,0.0010232,0.0010232
150,2104.67,1.15317,1.04906,1.57303,0.63496,0.63158,0.68638,0.45261,1.2755,1.40032,1.90252,0.0010166,0.0010166,0.0010166
151,2114.52,1.18986,1.05617,1.59816,0.7556,0.65162,0.78312,0.52237,1.30856,1.27324,1.8822,0.00101,0.00101,0.00101
152,2125.34,1.12589,0.94713,1.55472,0.63575,0.82719,0.77923,0.51092,1.37651,1.29981,1.89786,0.0010034,0.0010034,0.0010034
153,2135.81,1.11676,0.98098,1.52825,0.63575,0.82719,0.77923,0.51092,1.37651,1.29981,1.89786,0.0009968,0.0009968,0.0009968
154,2145.66,1.10147,1.0229,1.51685,0.70865,0.73684,0.81625,0.50784,1.4186,1.32325,1.93886,0.0009902,0.0009902,0.0009902
155,2155.29,1.06862,1.0806,1.56586,0.66193,0.82489,0.75149,0.47249,1.3847,1.31071,1.91707,0.0009836,0.0009836,0.0009836
156,2164.8,1.18442,1.06029,1.56113,0.68326,0.78947,0.74541,0.50934,1.32605,1.36047,1.88926,0.000977,0.000977,0.000977
157,2174.09,1.17678,1.01521,1.59571,0.68326,0.78947,0.74541,0.50934,1.32605,1.36047,1.88926,0.0009704,0.0009704,0.0009704
158,2183.8,1.23719,1.07089,1.61631,0.6829,0.84211,0.74216,0.49076,1.30537,1.34765,1.88609,0.0009638,0.0009638,0.0009638
159,2193.51,1.01656,0.97411,1.47796,0.65543,0.78947,0.78264,0.50984,1.3438,1.33277,1.92569,0.0009572,0.0009572,0.0009572
160,2203.24,1.08006,0.95093,1.45553,0.66728,0.84211,0.81434,0.51844,1.33817,1.31074,1.92809,0.0009506,0.0009506,0.0009506
161,2213.06,1.11032,1.03613,1.50472,0.66728,0.84211,0.81434,0.51844,1.33817,1.31074,1.92809,0.000944,0.000944,0.000944
162,2222.48,1.06373,1.00676,1.5202,0.78527,0.68421,0.83857,0.5591,1.32227,1.17442,1.91627,0.0009374,0.0009374,0.0009374
163,2232.24,1.16642,1.08814,1.58268,0.90025,0.73684,0.87504,0.59289,1.27987,1.03304,1.90361,0.0009308,0.0009308,0.0009308
164,2241.8,1.08985,0.99651,1.59672,0.91367,0.73684,0.87748,0.59464,1.29799,1.14762,1.89012,0.0009242,0.0009242,0.0009242
165,2251.25,1.06048,0.95036,1.47478,0.91367,0.73684,0.87748,0.59464,1.29799,1.14762,1.89012,0.0009176,0.0009176,0.0009176
166,2261.1,1.33433,1.1727,1.72734,0.77707,0.73399,0.80972,0.53863,1.37002,1.34918,1.95444,0.000911,0.000911,0.000911
167,2270.65,1.12334,1.06057,1.638,0.64826,0.67923,0.71421,0.46746,1.4186,1.53476,2.01266,0.0009044,0.0009044,0.0009044
